rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.8951,0.8949999999999999,0.893,0.9179999999999999,0.921,0.922
1,0.8913,0.89,0.892,0.922,0.923,0.9190000000000002
2,0.8974,0.8969999999999999,0.8940000000000001,0.923,0.9259999999999999,0.9280000000000002
3,0.9029999999999999,0.9040000000000001,0.9040000000000001,0.923,0.923,0.9259999999999999
4,0.8911,0.891,0.89,0.922,0.917,0.917
5,0.8962,0.898,0.8969999999999999,0.9199999999999999,0.924,0.923
6,0.8992999999999999,0.9030000000000001,0.901,0.923,0.923,0.921
7,0.8971,0.9,0.898,0.923,0.924,0.925
8,0.8955,0.8960000000000001,0.897,0.9179999999999999,0.9189999999999999,0.917
9,0.8892,0.8879999999999999,0.8880000000000001,0.906,0.908,0.907
