rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9777192982456141,0.9771929824561404,0.9771929824561404,0.9912280701754386,0.9912280701754386,0.9912280701754386
1,0.9701288619779538,0.971883247942866,0.9701288619779538,0.9929669306008384,0.9929669306008384,0.9929669306008384
2,0.9722092842726283,0.9700978108989288,0.9700978108989288,0.991212544635926,0.991212544635926,0.991212544635926
3,0.9775128085700977,0.9771619313771154,0.9771619313771154,0.9929669306008384,0.9929669306008384,0.9929669306008384
4,0.9773063188945814,0.9771308802980905,0.9771308802980905,0.9894271075919887,0.9894271075919887,0.9894271075919887
5,0.9773218444340941,0.9789007918025152,0.9771464058376029,0.9894426331315014,0.9894426331315014,0.9894426331315014
6,0.9796320447135537,0.9806862288464524,0.9806862288464524,0.9912280701754386,0.9912280701754386,0.9912280701754386
7,0.9730988976866944,0.9736221083682658,0.9718677224033534,0.9929669306008384,0.9929669306008384,0.9929669306008384
8,0.977501940692439,0.9771464058376027,0.9771464058376027,0.9894581586710138,0.9894581586710138,0.9894581586710138
9,0.9831377115354757,0.9841950007762769,0.9841950007762769,0.9929669306008384,0.9929669306008384,0.9929669306008384
