rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9673333333333334,0.9666666666666666,0.9666666666666666,0.9933333333333334,0.9933333333333334,0.9933333333333334
1,0.96,0.96,0.96,1.0,1.0,1.0
2,0.95,0.9533333333333334,0.9466666666666667,0.9933333333333334,0.9933333333333334,0.9933333333333334
3,0.9600000000000002,0.96,0.96,1.0,1.0,1.0
4,0.9653333333333333,0.9666666666666666,0.9666666666666666,0.9933333333333334,0.9933333333333334,0.9933333333333334
5,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9933333333333334,0.9933333333333334,0.9933333333333334
6,0.9673333333333334,0.9666666666666666,0.9666666666666666,1.0,1.0,1.0
7,0.9580000000000002,0.96,0.96,1.0,1.0,1.0
8,0.9626666666666667,0.96,0.9666666666666666,0.9933333333333334,0.9933333333333334,0.9933333333333334
9,0.966,0.9666666666666668,0.9666666666666668,0.9933333333333334,0.9933333333333334,0.9933333333333334
