rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.790875,0.789375,0.7924999999999999,0.815625,0.8193750000000002,0.8231250000000001
1,0.8018125000000002,0.803125,0.803125,0.8237500000000001,0.8231250000000001,0.8256249999999999
2,0.80625,0.80625,0.8081250000000001,0.8237500000000001,0.8256250000000002,0.825
3,0.7895625000000001,0.7950000000000002,0.7906250000000001,0.811875,0.813125,0.8143750000000001
4,0.8041250000000002,0.80375,0.8049999999999999,0.825,0.8231249999999999,0.8231249999999999
5,0.8016875000000001,0.79875,0.8,0.8225,0.8225,0.82125
6,0.7963749999999999,0.7975000000000001,0.798125,0.8143749999999998,0.8168750000000001,0.818125
7,0.7996875,0.8012499999999999,0.7993750000000001,0.8143750000000001,0.8143750000000001,0.8162499999999999
8,0.7910625,0.786875,0.78875,0.8150000000000001,0.8162499999999999,0.8162499999999999
9,0.8019999999999999,0.805625,0.8012499999999999,0.820625,0.815625,0.8200000000000001
